Czas[s],X[g],Y[g],Z[g]
1.0145,-1.0000,-1.0000,1.0000
1.0145,-1.0000,-1.0000,1.0000
1.0145,-1.0000,-1.0000,0.0000
1.0145,-1.0000,-1.0000,0.0000
1.0145,-1.0000,-1.0000,0.0000
1.0145,-1.0000,-1.0000,0.0000
1.0145,-1.0000,-1.0000,0.0000
1.0145,-1.0000,-1.0000,0.0000
1.0145,-1.0000,-1.0000,0.0000
1.0318,-1.0000,-3.0000,0.0000
1.0318,-1.0000,-3.0000,0.0000
1.0318,-1.0000,-1.0000,0.0000
1.0318,-1.0000,-1.0000,0.0000
1.0318,-1.0000,-1.0000,1.0000
1.0318,-1.0000,-1.0000,1.0000
1.0318,-1.0000,-1.0000,1.0000
1.0318,-1.0000,-3.0000,0.0000
1.0390,-1.0000,-3.0000,0.0000
1.0390,-1.0000,-1.0000,0.0000
1.0390,-1.0000,-1.0000,0.0000
1.0390,-1.0000,-1.0000,1.0000
1.0390,-1.0000,-1.0000,1.0000
1.0390,-1.0000,-1.0000,0.0000
1.0400,-1.0000,-1.0000,0.0000
1.0430,-1.0000,-3.0000,0.0000
1.0430,-1.0000,-1.0000,1.0000
1.0501,-1.0000,-1.0000,0.0000
1.0501,-1.0000,-1.0000,0.0000
1.0501,-1.0000,-1.0000,0.0000
1.0501,-1.0000,-3.0000,0.0000
1.0501,-1.0000,-1.0000,0.0000
1.0598,-1.0000,-1.0000,0.0000
1.0683,-1.0000,-1.0000,1.0000
1.0683,-1.0000,-1.0000,1.0000
1.0683,-1.0000,-3.0000,0.0000
1.0683,-1.0000,-1.0000,1.0000
1.0683,-1.0000,-3.0000,0.0000
1.0683,-1.0000,-3.0000,1.0000
